core_rank_descending,cod_ativo,data,score_general_equal_weight,score_high_value,score_high_short_interest,score_low_momentum,quality_score,quality_percentile_high_is_better,quality_quartile_1_best_4_worst,components_available,valid_for_core,quality_data,quality_age_days
1.0,PLPL3,2026-08-12,1.4235673247421214,1.2686557595521037,1.6437970063961318,1.3582492082781288,59.14065868234946,0.6232876712328768,2.0,3,True,2026-07-30,13.0
2.0,GMAT3,2026-08-12,1.3371106356652407,1.7392781374576476,1.7590336197785665,0.5130201497595077,50.76016260484929,0.4383561643835616,3.0,3,True,2026-07-30,13.0
3.0,CEAB3,2026-08-12,1.2936839320500733,2.468439224640711,0.658828913666968,0.7537836578425405,82.02935071803236,0.9315068493150684,1.0,3,True,2026-07-30,13.0
4.0,BEEF3,2026-08-12,1.2506909227912537,0.9372200402596383,2.226573157088106,0.5882795710260169,57.98387370929075,0.589041095890411,2.0,3,True,2026-07-30,13.0
5.0,AUAU3,2026-08-12,1.1540303000431165,2.490028885151443,1.7589286728489837,-0.7868666578710772,62.140261348454466,0.6643835616438356,2.0,3,True,2026-07-30,13.0
6.0,SLCE3,2026-08-12,1.1165216198895964,-0.6930398884393869,2.2121190617915554,1.8304856863166212,39.9452510915417,0.23972602739726026,4.0,3,True,2026-07-30,13.0
7.0,ORVR3,2026-08-12,1.0338307101082262,-0.6645758562333359,2.7299922062680793,1.0360757802899356,74.96278079300468,0.8561643835616438,1.0,3,True,2026-07-30,13.0
8.0,TTEN3,2026-08-12,1.0141941740517775,-0.14337243072093855,1.7691805875633686,1.4167743653129028,26.951740480603515,0.1095890410958904,4.0,3,True,2026-07-30,13.0
9.0,GRND3,2026-08-12,0.9186655690718039,0.08416754472330538,1.8379164835745818,0.8339126789175244,71.01620918229482,0.7808219178082192,1.0,3,True,2026-07-30,13.0
10.0,EZTC3,2026-08-12,0.9146330983360843,0.990821550610877,0.7422448069211576,1.0108329374762182,65.36959623460363,0.7191780821917808,2.0,3,True,2026-07-30,13.0
11.0,GGPS3,2026-08-12,0.9108391496769643,1.6243346225785837,0.2512125987869998,0.8569702276653095,45.035218689465836,0.3493150684931507,3.0,3,True,2026-07-30,13.0
12.0,RIAA3,2026-08-12,0.9080692240726359,2.490028885151443,-0.13012394580802328,0.3643027328744883,84.36784022645607,0.958904109589041,1.0,3,True,2026-07-30,13.0
13.0,EVEN3,2026-08-12,0.8731871231274907,1.3016495595545667,0.5502298745813827,0.7676819352465228,53.21461068116802,0.5068493150684932,2.0,3,True,2026-07-30,13.0
14.0,RAIL3,2026-08-12,0.8414132990041376,2.0551954446684277,-0.19601852188346527,0.6650629742274505,52.73612441358271,0.4931506849315068,3.0,3,True,2026-07-30,13.0
15.0,RENT3,2026-08-12,0.7910266279979193,2.091478837932051,-0.7709579112554469,1.0525589573171537,46.667687314636396,0.3698630136986301,3.0,3,True,2026-07-30,13.0
16.0,SMTO3,2026-08-12,0.7289404671826213,0.6667189989556389,0.5681363323464734,0.9519660702457516,30.577149901118293,0.14383561643835616,4.0,3,True,2026-07-30,13.0
17.0,PGMN3,2026-08-12,0.7277219334915861,1.7606973350003543,-0.9044567829359695,1.3269252484103735,52.75398220092861,0.5,3.0,3,True,2026-07-30,13.0
18.0,TAEE11,2026-08-12,0.7109236372162496,-0.2056884015159069,2.7299922062680793,-0.3915328931034236,29.509648726066633,0.1232876712328767,4.0,3,True,2026-07-30,13.0
19.0,POMO4,2026-08-12,0.6974449879865671,0.8612798215658571,-0.4406077927961946,1.6716629351900385,74.09535618726984,0.8287671232876712,1.0,3,True,2026-07-30,13.0
20.0,SOJA3,2026-08-12,0.6820894885422413,-1.478670912950504,2.7299922062680793,0.7949471723091486,14.950444598161893,0.02054794520547945,4.0,3,True,2026-07-30,13.0
21.0,VAMO3,2026-08-12,0.6753929749361713,0.6761614740097063,0.8123125900806423,0.5377048607181654,62.17439627366099,0.6712328767123288,2.0,3,True,2026-07-30,13.0
22.0,MDIA3,2026-08-12,0.6271863260216038,0.753120661709165,-0.3023573313513344,1.4307956477069808,73.01836775717372,0.821917808219178,1.0,3,True,2026-07-30,13.0
23.0,DIRR3,2026-08-12,0.6180573449872827,0.5921777896148721,0.540296821706476,0.7216974236405004,80.87396057386088,0.9178082191780822,1.0,3,True,2026-07-30,13.0
24.0,JHSF3,2026-08-12,0.5415550754713536,0.3416611433519051,1.8486944593856278,-0.5656903763234722,76.23624302728781,0.8698630136986302,1.0,3,True,2026-07-30,13.0
25.0,KEPL3,2026-08-12,0.520886725262259,-0.07942057982202629,0.2874921585058796,1.3545885971029237,48.59050539695619,0.4041095890410959,3.0,3,True,2026-07-30,13.0
26.0,AZZA3,2026-08-12,0.5163518487351549,-0.19826179912079261,1.6320926889009626,0.11522465642529503,38.22453373915222,0.2191780821917808,4.0,3,True,2026-07-30,13.0
27.0,CYRE3,2026-08-12,0.507829819585914,0.35601187410416923,1.4640530093379687,-0.2965754246843961,60.39980241673277,0.6438356164383562,2.0,3,True,2026-07-30,13.0
28.0,BRBI11,2026-08-12,0.4599144383003591,0.001108164851856074,-0.4518505362673999,1.8304856863166212,54.09421425815165,0.5273972602739726,2.0,3,True,2026-07-30,13.0
29.0,POMO3,2026-08-12,0.4559116064059913,0.42810481157668046,-0.8908556786753279,1.8304856863166212,,,,3,True,,
30.0,VIVA3,2026-08-12,0.44520325948157674,0.47701399146787743,0.758610167239711,0.0999856197371419,60.8753958488932,0.6575342465753424,2.0,3,True,2026-07-30,13.0
31.0,PRNR3,2026-08-12,0.4282990039348363,2.027596452320282,-0.20419175830751723,-0.5385076822082561,41.88271899668958,0.2808219178082192,3.0,3,True,2026-07-30,13.0
32.0,VULC3,2026-08-12,0.34625361440486874,0.36465937943803856,0.4474446042113537,0.2266568595652141,56.09748539245703,0.5547945205479452,2.0,3,True,2026-07-30,13.0
33.0,LREN3,2026-08-12,0.34518782056826414,0.9042097906201481,-0.05601327130677526,0.1873669423914196,79.01009740194017,0.8972602739726028,1.0,3,True,2026-07-30,13.0
34.0,SBFG3,2026-08-12,0.34440414758069665,1.1987242239314544,-1.0860717078117157,0.9205599266223513,43.0097576360808,0.2876712328767123,3.0,3,True,2026-07-30,13.0
35.0,VTRU3,2026-08-12,0.3324663092082094,2.490028885151443,-1.20190975919807,-0.2907201983287446,72.4010889349439,0.8013698630136986,1.0,3,True,2026-07-30,13.0
36.0,MOTV3,2026-08-12,0.2985584259243315,1.8157319777483862,-0.7866828919759485,-0.13337380799944312,52.624650889301904,0.4863013698630137,3.0,3,True,2026-07-30,13.0
37.0,TOTS3,2026-08-12,0.28376380130564033,2.0728631386166896,-0.8953335235843441,-0.3262382111154244,69.6469115430029,0.773972602739726,1.0,3,True,2026-07-30,13.0
38.0,YDUQ3,2026-08-12,0.2520835244631225,-0.14811752241577758,-0.09982001054541395,1.0041881063505589,37.040623165664755,0.2054794520547945,4.0,3,True,2026-07-30,13.0
39.0,MDNE3,2026-08-12,0.21619474550364168,0.34711548249018215,0.0547559581023387,0.24671279591840417,82.03858233112526,0.9383561643835616,1.0,3,True,2026-07-30,13.0
40.0,LAVV3,2026-08-12,0.15495996036525325,0.05943942493584919,-0.28348974559891915,0.6889302017588297,66.54947739880855,0.7328767123287672,2.0,3,True,2026-07-30,13.0
41.0,SMFT3,2026-08-12,0.10536690503007877,0.32748920567093115,0.059475923754889165,-0.07086441433558396,51.2015050149268,0.4520547945205479,3.0,3,True,2026-07-30,13.0
42.0,ARML3,2026-08-12,0.06952706861916975,0.19150587060427288,-0.3733642671193364,0.3904396023725728,29.801475655843518,0.136986301369863,4.0,3,True,2026-07-30,13.0
43.0,IGTI11,2026-08-12,0.051492875346804336,0.42093754352401636,-0.28256300466895096,0.016104087185347612,77.17002110658827,0.8767123287671232,1.0,3,True,2026-07-30,13.0
44.0,ALUP11,2026-08-12,0.03434560488189689,0.6287530467044409,-0.42822330135185016,-0.09749293070690004,44.67270654304236,0.3424657534246575,3.0,3,True,2026-07-30,13.0
45.0,MULT3,2026-08-12,0.033678483098573235,0.38807911974289205,-0.3937900214189606,0.10674635097178822,44.66304839439167,0.3356164383561644,3.0,3,True,2026-07-30,13.0
46.0,CURY3,2026-08-12,0.03160323405403639,0.12427016465876412,0.8955711024316123,-0.9250315649282673,95.79515355280678,1.0,1.0,3,True,2026-07-30,13.0
47.0,RECV3,2026-08-12,0.010025423431209487,-0.13772510366721485,0.17655800041349248,-0.008756626452649168,55.823554784997576,0.547945205479452,2.0,3,True,2026-07-30,13.0
48.0,VIVT3,2026-08-12,0.0013373414623384001,0.03385801472572837,-0.5697279399346152,0.5398819495959021,64.67640937557572,0.6986301369863014,2.0,3,True,2026-07-30,13.0
49.0,BRSR6,2026-08-12,-0.010003580834227985,0.4252199475696991,-0.592733384229397,0.13750269415701397,78.61307399189658,0.8904109589041096,1.0,3,True,2026-07-30,13.0
50.0,UNIP6,2026-08-12,-0.03514005721086788,-1.3863261629338501,0.850147121454301,0.43075886984694545,29.598535102266442,0.13013698630136986,4.0,3,True,2026-07-30,13.0
51.0,EGIE3,2026-08-12,-0.04334476739876112,0.1819684362899481,-0.7965576784979244,0.4845549400116929,47.26038368762249,0.3767123287671233,3.0,3,True,2026-07-30,13.0
52.0,INTB3,2026-08-12,-0.04341196178871078,0.28931844848485694,0.12963809522789627,-0.5491924290788855,58.74895928291941,0.6027397260273972,2.0,3,True,2026-07-30,13.0
53.0,RADL3,2026-08-12,-0.05231226385881932,0.6542772014577342,-0.6384913852002085,-0.17272260783398358,52.156330762722206,0.4726027397260274,3.0,3,True,2026-07-30,13.0
54.0,B3SA3,2026-08-12,-0.08705969020395472,0.12705842405158904,-0.873404504287929,0.4851670096244758,65.43257999595956,0.726027397260274,2.0,3,True,2026-07-30,13.0
55.0,PETR4,2026-08-12,-0.0961507454347334,-0.048462060418209635,-0.1980964274266349,-0.04189374845935565,64.19729006482737,0.684931506849315,2.0,3,True,2026-07-30,13.0
56.0,BPAC11,2026-08-12,-0.11109023443823633,0.22366419919803668,-0.643501051433275,0.0865661489205293,83.86522043218214,0.952054794520548,1.0,3,True,2026-07-30,13.0
57.0,ABEV3,2026-08-12,-0.11716710539734425,-0.27510249084041705,-0.17345929758806322,0.09706047223644755,92.4197269741607,0.9931506849315068,1.0,3,True,2026-07-30,13.0
58.0,ECOR3,2026-08-12,-0.12188027193698507,-0.4762110161635843,-0.4284634275912924,0.5390336279439215,48.63977674968677,0.4178082191780822,3.0,3,True,2026-07-30,13.0
59.0,RDOR3,2026-08-12,-0.17107646358186315,0.5936149488982762,-1.0106096922166534,-0.09623464742721224,86.64112983573223,0.9657534246575342,1.0,3,True,2026-07-30,13.0
