core_rank_35_30_35,cod_ativo,data,score_general_35_30_35,score_high_value,score_high_short_interest,score_low_momentum,tail_35_30_35,quality_score,quality_percentile_high_is_better,quality_quartile_1_best_4_worst,components_available,valid_for_core,quality_data,quality_age_days
1,PLPL3,2026-08-12,1.4125558406594207,1.2686557595521035,1.6437970063961318,1.3582492082781288,P90,59.14065868234946,0.6232876712328768,2.0,3,True,2026-07-30,13.0
2,CEAB3,2026-08-12,1.3254266829692283,2.468439224640711,0.658828913666968,0.7537836578425405,P90,82.02935071803236,0.9315068493150684,1.0,3,True,2026-07-30,13.0
3,GMAT3,2026-08-12,1.316014486459574,1.7392781374576476,1.7590336197785663,0.5130201497595077,P90,50.76016260484929,0.4383561643835616,3.0,3,True,2026-07-30,13.0
4,BEEF3,2026-08-12,1.2018968110764112,0.9372200402596385,2.226573157088106,0.5882795710260169,P90,57.98387370929075,0.589041095890411,2.0,3,True,2026-07-30,13.0
5,AUAU3,2026-08-12,1.123785381402823,2.490028885151443,1.7589286728489837,-0.7868666578710772,P90,62.14026134845447,0.6643835616438356,2.0,3,True,2026-07-30,13.0
6,SLCE3,2026-08-12,1.0617417477944986,-0.6930398884393869,2.212119061791556,1.8304856863166208,P90,39.9452510915417,0.2397260273972602,4.0,3,True,2026-07-30,13.0
7,TTEN3,2026-08-12,0.976444853376198,-0.1433724307209385,1.7691805875633686,1.4167743653129028,P90,26.951740480603515,0.1095890410958904,4.0,3,True,2026-07-30,13.0
8,RIAA3,2026-08-12,0.959978882566669,2.490028885151443,-0.1301239458080232,0.3643027328744883,P90,84.36784022645607,0.958904109589041,1.0,3,True,2026-07-30,13.0
9,ORVR3,2026-08-12,0.9490226353002338,-0.6645758562333359,2.7299922062680797,1.0360757802899356,P90,74.96278079300468,0.8561643835616438,1.0,3,True,2026-07-30,13.0
10,GGPS3,2026-08-12,0.9438204772214625,1.6243346225785835,0.2512125987869998,0.8569702276653095,P90,45.03521868946584,0.3493150684931507,3.0,3,True,2026-07-30,13.0
