month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2008-01,2008-01-31,grid_20qvjmd3.xlsx,70.76207766643095,17.120158737740635,29.23750074855248,22.558884046278358,80.21693572894254,41.95959738890503,,47.72123311018507,,57.966827496381555,0.0,44.44803671591619
2008-02,2008-02-29,grid_20qvjmd3.xlsx,73.10470982228736,18.75507893936191,30.343070721244032,23.077411625180268,80.79572725246865,42.77532336278505,,45.06432728314687,,61.83373643566233,0.0,45.36861596979499
2008-03,2008-03-31,grid_20qvjmd3.xlsx,73.20602385281674,17.51601052952366,27.7652239415948,22.22109778917231,83.86006165026288,43.22074115915133,,44.50158553581494,,62.891211254197756,0.0,47.91081541687039
2008-04,2008-04-30,grid_20qvjmd3.xlsx,75.8962610083261,16.670801919187472,28.30934053335507,21.276451074366705,84.37221210541223,43.58458671371266,,43.51533677345948,,64.77411875001103,0.0,50.43095871343504
2008-05,2008-05-30,grid_20qvjmd3.xlsx,85.94125741589663,17.069525226100144,29.811723949133995,22.06228427059038,88.09840776124787,43.37636597637751,,40.543477002126934,,69.00816533758248,2.506907830089103,49.39965787489331
2008-06,2008-06-30,grid_20qvjmd3.xlsx,88.93982281313694,16.384575287177768,29.380186116162164,22.38727759834007,89.91100755084726,43.45079059207357,,39.78018109839529,,69.43914422870357,5.4674639521075505,47.93367368677481
2008-07,2008-07-31,grid_20qvjmd3.xlsx,82.51563793977576,17.280898574659144,27.678327088209038,20.81927948409682,93.5228633213453,43.3298213229306,,38.094716660741504,,68.81750580501344,5.509822678153033,49.61603392926111
2008-08,2008-08-29,grid_20qvjmd3.xlsx,85.99562426289764,16.518892922971936,28.42335861134911,22.097216644131727,95.10740524503399,43.39486621406194,,40.64625116290529,,72.73626956717594,5.549448583173511,51.43408862883048
2008-09,2008-09-30,grid_20qvjmd3.xlsx,101.36285507605001,15.20950612491684,34.195930558256535,25.52073870834377,98.84647031374057,37.628041298574914,,41.29048764056505,,81.89666549228554,,56.51635720932065
2008-10,2008-10-31,grid_20qvjmd3.xlsx,93.18242680494386,15.282032013615613,35.05663943095754,23.494280045474447,93.70619297941863,35.92282869456231,,44.50810296788904,,81.67498774259559,,60.222794336353545
2008-11,2008-11-28,grid_20qvjmd3.xlsx,84.19157375142204,14.243017324913133,35.26495249498088,24.3484665162981,91.27772855435514,36.64625301848435,,40.806232612215325,,78.19454758507109,,61.334479555553536
2008-12,2008-12-31,grid_20qvjmd3.xlsx,78.75194450549053,15.73115711459711,35.733758646661364,24.907312392054408,79.30001194889653,35.730114157753825,,41.822686614570685,,66.63115369512573,,64.67746546119358
2009-01,2009-01-30,grid_20qvjmd3.xlsx,78.39155179401924,15.009262903844656,32.646567769447934,22.919501370333045,73.02194674355223,29.79113461270736,,39.089317679093064,,56.37141116316424,,64.9739109888313
2009-02,2009-02-27,grid_20qvjmd3.xlsx,79.50428102409558,15.128888476466997,30.87695851976414,22.066490817353923,73.70304646367345,30.129885475263073,,37.99659869914309,,54.21619161294424,,64.45123801262082
2009-03,2009-03-31,grid_20qvjmd3.xlsx,70.76029727119388,14.77951278022595,32.062623383990044,23.785022841006892,66.7949920230408,32.66971623886341,,39.48496404051699,,42.24715774464756,,68.4060748667785
2009-04,2009-04-30,grid_20qvjmd3.xlsx,64.47373780845732,14.760983338488561,31.39082916975033,24.31556777954266,64.33112571363912,33.535894384081935,,38.03674570751547,,38.848102989511055,,68.14854183173901
