month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Not Classified
2008-01,2008-01-31,grid_20qvjmd3.xlsx,,,,,,,,,,,,,
2008-02,2008-02-29,grid_20qvjmd3.xlsx,,,,,,,,,,,,,
2008-03,2008-03-31,grid_20qvjmd3.xlsx,,,,,,,,,,,,,
2008-04,2008-04-30,grid_20qvjmd3.xlsx,7.004419009040412,-2.65978415990891,-3.2260353137325817,-5.852808162841599,5.050344566361565,3.7996383747628206,,-9.226299196638234,,11.103521436105158,,12.628445407033528,-2.845859762203202
2008-05,2008-05-30,grid_20qvjmd3.xlsx,16.177121502911803,-9.416986943324963,-1.7666441869979934,-4.498473085289487,8.653037610415597,1.3953350651322898,,-10.57160596537007,,10.977572328841456,,8.5122910754437,-0.39719060194520356
2008-06,2008-06-30,grid_20qvjmd3.xlsx,19.46822822212318,-6.677498909298279,5.653620524811854,0.7450644703946969,6.967089925021306,0.5308547536185869,,-11.215599264168565,,9.904431812533554,,0.0476986638492766,-3.4040963869771796
2008-07,2008-07-31,grid_20qvjmd3.xlsx,8.362040505253745,3.5942961736431376,-2.254211301710712,-2.1721422067982954,10.296782697051231,-0.5862460003906349,,-13.303784326613908,,6.055203584401029,,-1.6291200489007989,-0.36035185193313757
2008-08,2008-08-29,grid_20qvjmd3.xlsx,0.06324047322728446,-3.278997156932658,-4.769044382769173,0.15821003455285745,7.655237480699418,0.04264140890419096,,0.25317048842418377,,5.26153179455247,79.46485149612084,4.035765697435195,-0.28526302190776665
2008-09,2008-09-30,grid_20qvjmd3.xlsx,13.074671042235785,-7.441972565908564,15.1786141947327,13.099857116104896,9.474746533074521,-14.387949533246397,,3.7263324051373115,,16.500752926950593,,16.471184723036032,8.026986396552758
2008-10,2008-10-31,grid_20qvjmd3.xlsx,12.157132415474301,-12.292400279134574,23.63153315999112,12.087753352651093,0.19583468537042684,-18.746812192711797,,15.559565956672833,,17.128964999775878,,19.373687791350257,4.322190492597181
2008-11,2008-11-28,grid_20qvjmd3.xlsx,-2.120157226567846,-14.823797716671708,21.567833014659442,9.701721391438989,-4.1100013630869725,-16.902995788113763,,0.3928220420469101,,7.235976737716126,,17.60410016372148,-1.959410235557647
2008-12,2008-12-31,grid_20qvjmd3.xlsx,-25.240373376212354,3.3722640044617362,4.398921485890182,-2.4329973587777687,-22.032956215982246,-5.17556846166167,,1.2806784309468684,,-20.628603427561064,,13.488274373903122,-13.675784276556941
