sample,start,end,n,corr_targets,beta_focus_ibov,p_focus_ibov,beta_std_focus_ibov,beta_focus_excommod,p_focus_excommod,beta_std_focus_excommod,beta_focus_commodities,p_focus_commodities,beta_std_focus_commodities,beta_focus_difference,p_focus_difference,beta_std_focus_difference,r2_ibov,r2_excommod,r2_commodities,simple_beta_focus_ibov,simple_beta_focus_excommod,simple_beta_focus_difference,simple_p_focus_difference
full,2010-04,2026-07,196,0.772733812466545,5.6838321484921215,0.0,0.5849285682280206,2.024588170012512,0.0014139297586757138,0.42979377379748357,16.626686699187285,2.220446049250313e-16,0.6374633119230306,-3.6592439784796156,7.292202397479741e-10,-0.5402843522810422,0.5295342389670157,0.32539094329139273,0.497937035886044,5.814408347167369,1.9599463327867115,-3.8544620143806587,2.2042354608231562e-09
ex_2013_14,2010-04,2026-07,172,0.7844963035924423,5.686279851012402,0.0,0.5837225321894806,2.0316214250528346,0.0015772984438515714,0.43059679185231314,16.7756802573262,4.440892098500626e-16,0.6442218077897744,-3.6546584259595702,1.3212479998969684e-09,-0.5445452357521144,0.5307452063720055,0.33632928892568925,0.4996130247718382,5.814823345265812,2.007450490870509,-3.8073728543953047,2.237384943981624e-09
ex_2020_21,2010-04,2026-07,172,0.6476094895684715,2.976629966775055,3.0606538654609494e-05,0.29643848668793293,0.5090614666108078,0.4443362103594881,0.11300113845013716,11.303101788072295,0.0006205278058810659,0.3544149507262645,-2.4675685001642487,0.00028699833745804426,-0.31204424059288305,0.17326481196862864,0.09967059529017475,0.16525825955420648,2.5352897150639526,0.32743711584956453,-2.2078525992143887,0.009434022985736368
clean,2010-04,2026-07,148,0.6718685399068023,2.8658246233829088,7.319539335082226e-05,0.2803964226417037,0.5096119619662035,0.4594416077393475,0.11264325530570389,11.16853174485441,0.0011600299485774457,0.34430372063647763,-2.356212661416707,0.00037619336838812245,-0.2973385576534141,0.16189713913421167,0.12049003640299061,0.15527247816189726,2.3728469269263543,0.332338818513354,-2.0405081084130012,0.016598512554876432
since_2015,2015-01,2026-07,139,0.7836973780596262,5.8920576587809315,0.0,0.6163409666400602,2.3324491460171126,0.0004748439120099146,0.5065607316315247,17.363720643627307,0.0,0.6656090321427688,-3.559608512763819,1.5808829134655866e-08,-0.5391068130769202,0.5707175729730085,0.37196196102687085,0.523956009997717,6.051768840618628,2.16377377294235,-3.8879950676762784,8.309966048614115e-10
since_2022,2022-01,2026-07,55,0.6701566753454756,2.1196906357251377,0.3032455518147281,0.1233117166867295,1.0779142555886372,0.2308625641962614,0.165450872005806,3.24108410024852,0.417233075679621,0.08628399997132066,-1.0417763801365,0.47132578391473645,-0.07601416296429885,0.451028099759729,0.38146338248873934,0.36019948744493235,2.2330527023370332,1.3714855606494991,-0.8615671416875343,0.710554408767643
