seam_start,revision_month,target,revision_3m_log_pct
2020-01,2020-02,IBOV,-7.917957098831925
2020-01,2020-02,Communication Services,-4.795018528064966
2020-01,2020-02,Consumer Discretionary,-3.4517964316694205
2020-01,2020-02,Consumer Staples,-19.967960619614825
2020-01,2020-02,Energy,1.7100823229461837
2020-01,2020-02,Financials,-3.1219056636640437
2020-01,2020-02,Health Care,10.241845491587297
2020-01,2020-02,Industrials,7.609570918648205
2020-01,2020-02,Information Technology,
2020-01,2020-02,Materials,3.07095725560435
2020-01,2020-02,Real Estate,6.684177528152543
2020-01,2020-02,Utilities,6.326488819771203
2020-01,2020-03,IBOV,-22.556033504741972
2020-01,2020-03,Communication Services,1.3720934397745461
2020-01,2020-03,Consumer Discretionary,-19.702493165993385
2020-01,2020-03,Consumer Staples,-25.551266373741484
2020-01,2020-03,Energy,-96.00206183517982
2020-01,2020-03,Financials,-6.797824969340943
2020-01,2020-03,Health Care,11.344103686527351
2020-01,2020-03,Industrials,0.2224466095199845
2020-01,2020-03,Information Technology,
2020-01,2020-03,Materials,6.166908710359349
2020-01,2020-03,Real Estate,-26.01888602957577
2020-01,2020-03,Utilities,8.314362320727152
2023-01,2023-01,IBOV,-8.584029188979267
2023-01,2023-01,Communication Services,2.014605295551222
2023-01,2023-01,Consumer Discretionary,-18.722290766249174
2023-01,2023-01,Consumer Staples,-16.87532179388406
2023-01,2023-01,Energy,-35.9306332255662
2023-01,2023-01,Financials,-0.7475341148486595
2023-01,2023-01,Health Care,-2.379421826759919
2023-01,2023-01,Industrials,6.471818504950605
2023-01,2023-01,Information Technology,15.849816361478467
2023-01,2023-01,Materials,-1.1938446009330168
2023-01,2023-01,Real Estate,8.077948262525592
2023-01,2023-01,Utilities,-0.011327838791759156
2023-01,2023-02,IBOV,-3.397083449313322
2023-01,2023-02,Communication Services,0.1517554349025482
2023-01,2023-02,Consumer Discretionary,-30.18545985422525
2023-01,2023-02,Consumer Staples,-16.053384595331377
2023-01,2023-02,Energy,-12.878084823821917
2023-01,2023-02,Financials,3.7793293290822754
2023-01,2023-02,Health Care,-7.326370389542084
2023-01,2023-02,Industrials,4.414634613538676
2023-01,2023-02,Information Technology,13.4775458820543
2023-01,2023-02,Materials,-5.28534368730962
2023-01,2023-02,Real Estate,11.347180607123981
2023-01,2023-02,Utilities,-4.055469029313335
