data_referencia,instituicoes_financeiras_r_bilhoes,fundos_r_bilhoes,nao_residentes_r_bilhoes,previdencia_r_bilhoes,governo_r_bilhoes,seguradoras_r_bilhoes,outros_r_bilhoes,instituicoes_financeiras_participacao_pct,instituicoes_financeiras_participacao_publicada_pct,instituicoes_financeiras_participacao_sobre_total_publicado_pct,instituicoes_financeiras_diferenca_publicada_menos_calculada_pp,fundos_participacao_pct,fundos_participacao_publicada_pct,fundos_participacao_sobre_total_publicado_pct,fundos_diferenca_publicada_menos_calculada_pp,nao_residentes_participacao_pct,nao_residentes_participacao_publicada_pct,nao_residentes_participacao_sobre_total_publicado_pct,nao_residentes_diferenca_publicada_menos_calculada_pp,previdencia_participacao_pct,previdencia_participacao_publicada_pct,previdencia_participacao_sobre_total_publicado_pct,previdencia_diferenca_publicada_menos_calculada_pp,governo_participacao_pct,governo_participacao_publicada_pct,governo_participacao_sobre_total_publicado_pct,governo_diferenca_publicada_menos_calculada_pp,seguradoras_participacao_pct,seguradoras_participacao_publicada_pct,seguradoras_participacao_sobre_total_publicado_pct,seguradoras_diferenca_publicada_menos_calculada_pp,outros_participacao_pct,outros_participacao_publicada_pct,outros_participacao_sobre_total_publicado_pct,outros_diferenca_publicada_menos_calculada_pp,total_ntnb_r_bilhoes,total_ntnb_publicado_r_bilhoes,diferenca_total_calculado_menos_publicado_r_bilhoes,soma_participacoes_calculadas_pct,soma_participacoes_publicadas_pct,maior_diferenca_participacao_publicada_vs_calculada_pp,status_reconciliacao_fonte,fonte_publicacao,fonte_anexo,planilha_fonte,metodologia
2011-02-28,86.764649471,71.575334287,23.561272127,139.722858861,32.120879877,23.704849977,13.895842658,22.170845954,22.170845954,22.170845954,-0.0,18.289542115,18.289542115,18.289542115,-0.0,6.020577943,6.020577943,6.020577943,-0.0,35.70318095,35.70318095,35.70318095,-0.0,8.207802187,8.207802187,8.207802187,-0.0,6.057266184,6.057266184,6.057266184,-0.0,3.550784667,3.550784667,3.550784667,-0.0,391.345687257,391.345687257,0.0,100.0,100.0,0.0,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,2.8,Estoques extraídos diretamente do Anexo 2.8; participação principal recalculada sobre a soma dos sete grupos
2011-03-31,96.531104326,66.934184157,24.585023908,146.695439988,32.746429752,24.673525515,14.384586639,23.743951409,23.743951409,23.743951409,0.0,16.463936959,16.463936959,16.463936959,0.0,6.047228167,6.047228167,6.047228167,0.0,36.082974739,36.082974739,36.082974739,0.0,8.054705706,8.054705706,8.054705706,0.0,6.068997087,6.068997087,6.068997087,0.0,3.538205934,3.538205934,3.538205934,0.0,406.550294284,406.550294284,-0.0,100.0,100.0,0.0,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,2.8,Estoques extraídos diretamente do Anexo 2.8; participação principal recalculada sobre a soma dos sete grupos
2011-04-30,94.582174012,75.306738135,25.523155508,152.214400988,33.193126985,26.045169184,15.09610939,22.414915646,22.414915646,22.414915646,0.0,17.846853284,17.846853284,17.846853284,0.0,6.048701922,6.048701922,6.048701922,0.0,36.073107791,36.073107791,36.073107791,0.0,7.866399236,7.866399236,7.866399236,0.0,6.172413315,6.172413315,6.172413315,0.0,3.577608805,3.577608805,3.577608805,0.0,421.960874203,421.960874203,0.0,100.0,100.0,0.0,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,2.8,Estoques extraídos diretamente do Anexo 2.8; participação principal recalculada sobre a soma dos sete grupos
2011-05-31,82.155041259,68.719326338,24.92462151,148.217891695,26.962216546,25.901301142,14.85997526,20.971808566,20.971808566,20.971808566,0.0,17.542058706,17.542058706,17.542058706,0.0,6.362535797,6.362535797,6.362535797,0.0,37.83574572,37.83574572,37.83574572,0.0,6.882674943,6.882674943,6.882674943,0.0,6.61185389,6.61185389,6.61185389,0.0,3.793322378,3.793322378,3.793322378,0.0,391.74037375,391.74037375,0.0,100.0,100.0,0.0,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,2.8,Estoques extraídos diretamente do Anexo 2.8; participação principal recalculada sobre a soma dos sete grupos
2011-06-30,98.063845754,69.858856358,25.104793764,150.501610123,27.207624303,26.373372309,15.215901283,23.78308543,23.78308543,23.78308543,-0.0,16.942626877,16.942626877,16.942626877,-0.0,6.088578825,6.088578825,6.088578825,-0.0,36.500635105,36.500635105,36.500635105,-0.0,6.598571045,6.598571045,6.598571045,0.0,6.396242793,6.396242793,6.396242793,-0.0,3.690259925,3.690259925,3.690259925,-0.0,412.326003893,412.326003893,0.0,100.0,100.0,0.0,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,2.8,Estoques extraídos diretamente do Anexo 2.8; participação principal recalculada sobre a soma dos sete grupos
2011-07-31,100.05158753,75.620547244,26.205234107,154.671866331,27.373238101,27.374069285,15.722381256,23.43024675,23.43024675,23.43024675,-0.0,17.708945206,17.708945206,17.708945206,-0.0,6.136785197,6.136785197,6.136785197,-0.0,36.221314254,36.221314254,36.221314254,-0.0,6.41031031,6.41031031,6.41031031,-0.0,6.410504958,6.410504958,6.410504958,-0.0,3.681893325,3.681893325,3.681893325,-0.0,427.018923853,427.018923853,0.0,100.0,100.0,0.0,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,2.8,Estoques extraídos diretamente do Anexo 2.8; participação principal recalculada sobre a soma dos sete grupos
2011-08-31,103.227920895,84.709028183,26.172043759,149.709251832,26.515547357,26.79845519,15.660806072,23.851566034,23.851566034,23.851566034,-0.0,19.572640443,19.572640443,19.572640443,-0.0,6.047242108,6.047242108,6.047242108,-0.0,34.591417467,34.591417467,34.591417467,-0.0,6.126611126,6.126611126,6.126611126,-0.0,6.19197905,6.19197905,6.19197905,-0.0,3.618543771,3.618543771,3.618543771,-0.0,432.793053289,432.793053289,0.0,100.0,100.0,0.0,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,2.8,Estoques extraídos diretamente do Anexo 2.8; participação principal recalculada sobre a soma dos sete grupos
2011-09-30,103.673122092,91.946087627,27.62592691,146.883747596,26.719015635,27.869870194,16.55757486,23.493975652,23.493975652,23.493975652,-0.0,20.836443433,20.836443433,20.836443433,-0.0,6.260473699,6.260473699,6.260473699,-0.0,33.286189516,33.286189516,33.286189516,-0.0,6.054953204,6.054953204,6.054953204,-0.0,6.315755121,6.315755121,6.315755121,-0.0,3.752209375,3.752209375,3.752209375,-0.0,441.275344914,441.275344914,0.0,100.0,100.0,0.0,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,2.8,Estoques extraídos diretamente do Anexo 2.8; participação principal recalculada sobre a soma dos sete grupos
2011-10-31,103.352029463,90.553354882,28.180603505,157.612165059,27.007831125,28.002271866,16.4381018,22.908758477,22.908758477,22.908758477,0.0,20.071835522,20.071835522,20.071835522,0.0,6.246443759,6.246443759,6.246443759,0.0,34.935927636,34.935927636,34.935927636,0.0,5.986489897,5.986489897,5.986489897,0.0,6.206915203,6.206915203,6.206915203,0.0,3.643629505,3.643629505,3.643629505,0.0,451.146357699,451.146357699,-0.0,100.0,100.0,0.0,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,2.8,Estoques extraídos diretamente do Anexo 2.8; participação principal recalculada sobre a soma dos sete grupos
2011-11-30,98.483873705,91.859507681,28.238447415,154.195092201,26.674089709,27.849034539,16.3059048,22.200755805,22.200755805,22.200755805,0.0,20.707456172,20.707456172,20.707456172,0.0,6.365660202,6.365660202,6.365660202,0.0,34.759473398,34.759473398,34.759473398,0.0,6.013014412,6.013014412,6.013014412,0.0,6.277876691,6.277876691,6.277876691,0.0,3.675763321,3.675763321,3.675763321,0.0,443.60595005,443.60595005,0.0,100.0,100.0,0.0,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip,2.8,Estoques extraídos diretamente do Anexo 2.8; participação principal recalculada sobre a soma dos sete grupos
