data_referencia,detentor,detentor_slug,estoque_r_bilhoes,participacao_pct,participacao_publicada_pct,participacao_sobre_total_publicado_pct,total_ntnb_r_bilhoes,total_ntnb_publicado_r_bilhoes,status_reconciliacao_fonte,fonte_publicacao,fonte_anexo
2011-04-30,Fundos,fundos,75.306738135,17.846853284,17.846853284,17.846853284,421.960874203,421.960874203,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
2011-04-30,Não-residentes,nao_residentes,25.523155508,6.048701922,6.048701922,6.048701922,421.960874203,421.960874203,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
2011-04-30,Previdência,previdencia,152.214400988,36.073107791,36.073107791,36.073107791,421.960874203,421.960874203,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
2011-04-30,Governo,governo,33.193126985,7.866399236,7.866399236,7.866399236,421.960874203,421.960874203,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
2011-04-30,Seguradoras,seguradoras,26.045169184,6.172413315,6.172413315,6.172413315,421.960874203,421.960874203,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
2011-04-30,Outros,outros,15.09610939,3.577608805,3.577608805,3.577608805,421.960874203,421.960874203,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
2011-05-31,Instituições Financeiras,instituicoes_financeiras,82.155041259,20.971808566,20.971808566,20.971808566,391.74037375,391.74037375,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
2011-05-31,Fundos,fundos,68.719326338,17.542058706,17.542058706,17.542058706,391.74037375,391.74037375,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
2011-05-31,Não-residentes,nao_residentes,24.92462151,6.362535797,6.362535797,6.362535797,391.74037375,391.74037375,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
2011-05-31,Previdência,previdencia,148.217891695,37.83574572,37.83574572,37.83574572,391.74037375,391.74037375,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
2011-05-31,Governo,governo,26.962216546,6.882674943,6.882674943,6.882674943,391.74037375,391.74037375,OK_EXATO,https://www.tesourotransparente.gov.br/publicacoes/relatorio-mensal-da-divida-rmd/2026/5,https://cdn.tesouro.gov.br/sistemas-internos/apex/producao/sistemas/thot/arquivos/publicacoes/54943_1730238/anexos/28577_919203/Anexo%20RMD_Maio_26.zip
