entry_threshold,10,15,21,30,42,63
1.0,0.22,0.45,0.62,0.51,0.36,0.01
1.25,-0.78,-0.17,-0.14,-0.14,0.22,0.05
1.5,1.29,1.42,1.48,1.06,1.09,0.61
1.75,1.57,1.48,0.56,0.62,0.86,0.55
2.0,2.27,1.28,0.82,1.1,0.84,0.69
