entry_threshold,10,15,21,30,42,63
1.0,42.9,47.6,52.4,47.6,50.0,60.0
1.25,47.1,52.9,47.1,52.9,47.1,46.2
1.5,53.8,69.2,69.2,69.2,61.5,72.7
1.75,70.0,50.0,60.0,50.0,77.8,66.7
2.0,77.8,66.7,77.8,77.8,50.0,75.0
