data,in_position,cdi_return,overlay_excess_return,long_return,short_underlying_return,strategy_total_return,always_on_wealth,cdi_wealth,relative_wealth
2014-05-15,False,0.0004070500000000027,0.0,0.0,0.0,0.0004070500000000027,100.040705,100.040705,100.0
2014-05-16,True,0.0004070500000000027,0.0024430594323505694,0.0005294847642364815,-0.004356634100464657,0.002850109432350572,100.3258319569395,100.08142656897023,100.24420653896338
2014-05-19,True,0.0004070500000000027,-0.0008782693718763354,-0.01050878825687081,-0.008752249513118138,-0.00047121937187633267,100.27855648142176,100.12216471365514,100.15620094532903
2014-05-20,True,0.0004070500000000027,0.0006120160793714469,-0.0034134760293877157,-0.0046375081881306094,0.0010190660793714496,100.3807469568203,100.16291944080183,100.21747320988104
2014-05-21,True,0.0004070500000000027,-0.0019258038155190748,0.00708504785863255,0.0109366554896707,-0.001518753815519072,100.228293314375,100.2036907571602,100.02455254594804
2014-05-22,True,0.0004070500000000027,-0.0003006182533049729,0.00031455179855543016,0.000915788305165376,0.0001064317466950298,100.23896078670069,100.2444786694829,99.99449557436434
2014-05-23,True,0.0004070500000000027,-7.64728231132232e-05,0.0005144473816758512,0.0006673930279022976,0.0003305771768867795,100.2720974993716,100.2852831845253,99.98685182438041
2014-05-26,True,0.0004070500000000027,-0.0012098286332017675,-0.009317482214199773,-0.006897824947796238,-0.0008027786332017648,100.19160120199277,100.32610430904556,99.86593408766429
2014-05-27,True,0.0004070500000000027,0.0011935556113656575,0.008652161814463589,0.006265050591732274,0.0016006056113656603,100.3519684410884,100.36694204980456,99.98508113487335
2014-05-28,True,0.0004070500000000027,0.006911806525922639,0.012009262079794187,-0.001814350972051091,0.007318856525922642,101.08643010020263,100.40779641356595,100.67587748250294
2014-05-29,True,0.0004070500000000027,-0.00492760662977189,-0.017023947399943406,-0.007168734140399626,-0.004520556629771888,100.6294631684332,100.44866740709608,100.17998821288928
2014-05-30,True,0.0004070500000000027,-0.0002799326659981634,0.004768353476289466,0.0053282188082857925,0.0001271173340018393,100.6422549175132,100.48955503716415,100.15195597223271
2014-06-02,True,0.0004070500000000027,-0.00017627315329870642,0.010307479329366124,0.010660025635963537,0.0002307768467012963,100.66548081974798,100.53045931054203,100.13430905432242
2014-06-03,True,0.0004070500000000027,0.005794798586270937,0.00476063221408611,-0.0068289649584557625,0.006201848586270939,101.28979288965621,100.57138023400438,100.71433110889029
2014-06-04,True,0.0004070500000000027,0.008295281237447993,0.0063682430570039476,-0.01022231941789204,0.008702331237447996,102.17125021835449,100.61231781432862,101.54944487702068
2014-06-05,True,0.0004070500000000027,0.006412044809389838,0.026250249940609385,0.01342616032182971,0.00681909480938984,102.86796566038734,100.65327205829495,102.20031952941353
