block,signal_date,entry_date,exit_date,long_return,short_underlying_return,pure_spread_return,overlay_excess_return,cdi_return,strategy_block_return
1,2014-05-15,2014-05-16,2014-06-17,0.07773422036284258,0.02068925712954303,0.05561098794189499,0.027566798874020824,0.008994930745566787,0.03656172961958761
2,2014-06-17,2014-06-18,2014-07-21,-0.06577236111605868,0.02197839100904237,-0.08656622664785249,-0.04396907238904801,0.008993478386140952,-0.034975594002907055
3,2014-07-21,2014-07-22,2014-08-20,0.0015771075511606706,-0.006057624859334984,0.0073206016572121835,0.003878478288267147,0.008589104735473585,0.012467583023740732
4,2014-08-20,2014-08-21,2014-09-19,0.0038947738604124616,-0.05111593189189562,0.0577440930812288,0.028690901042417657,0.008594911858386123,0.03728581290080378
5,2014-09-19,2014-09-22,2014-10-21,-0.025079263249914694,-0.02925808692147375,0.003648913530095551,0.0021170499852187856,0.008603622602507688,0.010720672587726474
6,2014-10-21,2014-10-22,2014-11-21,0.006818506462014954,0.032098299010229925,-0.024898094159165805,-0.012212921201224811,0.009175492695021159,-0.003037428506203652
7,2014-11-21,2014-11-24,2014-12-23,-0.10516868387333146,-0.03751889587146941,-0.07167474127611927,-0.03624639714370606,0.009049074332460494,-0.027197322811245567
8,2014-12-23,2014-12-26,2015-01-28,-0.12791639722638934,-0.05481762003224511,-0.07713714676573438,-0.038710319966905785,0.009696259879321545,-0.02901406008758424
9,2015-01-28,2015-01-29,2015-03-03,-0.006227924279932279,0.051570447708390955,-0.05533754782008882,-0.02757687879636583,0.00955570313825893,-0.0180211756581069
10,2015-03-03,2015-03-04,2015-04-02,0.08227488175390979,-0.047218509712692425,0.13554241005038717,0.06619813529680452,0.009940128395558023,0.07613826369236254
11,2015-04-02,2015-04-06,2015-05-07,0.05594869199430495,0.01062306192126177,0.04378110903822597,0.022117844998793018,0.010032800650251028,0.032150645649044046
12,2015-05-07,2015-05-08,2015-06-09,-0.06455365116489689,-0.06016707623213559,-0.004947600320753555,-0.0022054371738620057,0.010387687755202935,0.008182250581340929
13,2015-06-09,2015-06-10,2015-07-10,-0.11071674856853905,0.0434355314919353,-0.14849706787266576,-0.07696763110777906,0.01122536434293786,-0.0657422667648412
14,2015-07-10,2015-07-13,2015-08-11,-0.061967616615617345,-0.036508845200583354,-0.02594603441394769,-0.012591989631876813,0.010867695980629755,-0.001724293651247058
15,2015-08-11,2015-08-12,2015-09-11,-0.030675212774604253,-0.042653963589876,0.011215828763363318,0.005982349950041434,0.011074797767651967,0.0170571477176934
16,2015-09-11,2015-09-14,2015-10-14,0.07869601853274695,-0.003343887918344452,0.08254956785797873,0.041352944385098955,0.011074797767651967,0.05242774215275092
17,2015-10-14,2015-10-15,2015-11-16,0.016169772936672513,0.04958872714011618,-0.03160163318378083,-0.015510217553506877,0.011080810525179619,-0.004429407028327259
18,2015-11-16,2015-11-17,2015-12-17,-0.04801664541232693,-0.04740772724271879,0.00021348531316348635,0.0006026919901272302,0.01161300302184487,0.0122156950119721
19,2015-12-17,2015-12-18,2016-01-22,-0.07697669091335785,-0.044007368558424464,-0.03456142991681287,-0.01679987512843013,0.012143351254933377,-0.004656523873496753
20,2016-01-22,2016-01-26,2016-02-26,0.1053324051371684,0.10482880215144887,0.0010263276311642073,0.0017279870594621464,0.011074797767651967,0.012802784827114114
21,2016-02-26,2016-02-29,2016-03-30,0.17335393304224125,0.032983034102511424,0.13732198807140789,0.06885156784942242,0.011074797767651967,0.07992636561707439
