variante,blocos,cagr_pct,cdi_cagr_pct,excesso_aa_pct,hit_rate_pct,spread_medio_pct,drawdown_relativo_pct,anos_com_excesso_positivo,anos_totais
com_quality,138,9.29,10.16,-0.78,49.3,-0.06,-26.3,6,13
sem_quality,138,6.55,10.16,-3.27,44.9,-0.49,-35.8,3,13
