variante,data,cdi_return,spread_return,overlay_excess_return,strategy_total_return,wealth,cdi_wealth,relative_wealth
com_quality,2014-05-15,0.0004070500000000027,0.0,0.0,0.0004070500000000027,100.040705,100.040705,100.0
com_quality,2014-05-16,0.0004070500000000027,0.004886118864701139,0.0024430594323505694,0.002850109432350572,100.3258319569395,100.08142656897023,100.24420653896338
com_quality,2014-05-19,0.0004070500000000027,-0.0017565387437526708,-0.0008782693718763354,-0.00047121937187633267,100.27855648142176,100.12216471365514,100.15620094532903
com_quality,2014-05-20,0.0004070500000000027,0.0012240321587428937,0.0006120160793714469,0.0010190660793714496,100.3807469568203,100.16291944080183,100.21747320988104
com_quality,2014-05-21,0.0004070500000000027,-0.0038516076310381496,-0.0019258038155190748,-0.001518753815519072,100.228293314375,100.2036907571602,100.02455254594804
com_quality,2014-05-22,0.0004070500000000027,-0.0006012365066099458,-0.0003006182533049729,0.0001064317466950298,100.23896078670069,100.2444786694829,99.99449557436434
com_quality,2014-05-23,0.0004070500000000027,-0.0001529456462264464,-7.64728231132232e-05,0.0003305771768867795,100.2720974993716,100.2852831845253,99.98685182438041
com_quality,2014-05-26,0.0004070500000000027,-0.002419657266403535,-0.0012098286332017675,-0.0008027786332017648,100.19160120199277,100.32610430904556,99.86593408766429
com_quality,2014-05-27,0.0004070500000000027,0.002387111222731315,0.0011935556113656575,0.0016006056113656603,100.3519684410884,100.36694204980456,99.98508113487335
com_quality,2014-05-28,0.0004070500000000027,0.013823613051845278,0.006911806525922639,0.007318856525922642,101.08643010020263,100.40779641356595,100.67587748250294
com_quality,2014-05-29,0.0004070500000000027,-0.00985521325954378,-0.00492760662977189,-0.004520556629771888,100.6294631684332,100.44866740709608,100.17998821288928
com_quality,2014-05-30,0.0004070500000000027,-0.0005598653319963268,-0.0002799326659981634,0.0001271173340018393,100.6422549175132,100.48955503716415,100.15195597223271
com_quality,2014-06-02,0.0004070500000000027,-0.00035254630659741285,-0.00017627315329870642,0.0002307768467012963,100.66548081974798,100.53045931054203,100.13430905432242
com_quality,2014-06-03,0.0004070500000000027,0.011589597172541873,0.005794798586270937,0.006201848586270939,101.28979288965621,100.57138023400438,100.71433110889029
com_quality,2014-06-04,0.0004070500000000027,0.016590562474895987,0.008295281237447993,0.008702331237447996,102.17125021835449,100.61231781432862,101.54944487702068
com_quality,2014-06-05,0.0004070500000000027,0.012824089618779675,0.006412044809389838,0.00681909480938984,102.86796566038734,100.65327205829495,102.20031952941353
com_quality,2014-06-06,0.00040848999999999926,-0.008308624744103058,-0.004154312372051529,-0.0037458223720515296,102.48264053324922,100.69438791339806,101.7759208401854
com_quality,2014-06-09,0.0004070500000000027,0.004570190984530033,0.0022850954922650165,0.002692145492265019,102.75853871199622,100.7353755639982,102.00839390995539
com_quality,2014-06-10,0.0004070500000000027,0.004740012354746716,0.002370006177373358,0.0027770561773733608,103.04390494670426,100.77637989862154,102.25005606508567
com_quality,2014-06-11,0.0008142656897025055,0.0035089812308242555,0.0017544906154121278,0.0025687563051146334,103.30859962723974,100.85843864710542,102.42930687109606
com_quality,2014-06-13,0.0004070500000000027,0.0002448265862289805,0.00012241329311449026,0.000529463293114493,103.36329773860544,100.89949307455672,102.44184047805687
com_quality,2014-06-16,0.0004070500000000027,0.0061256833898032685,0.0030628416949016342,0.003469891694901637,103.72195718698627,100.94056421321271,102.75547595305544
com_quality,2014-06-17,0.0004070500000000027,0.0,0.0,0.0004070500000000027,103.76417720965922,100.98165206987571,102.75547595305542
