bucket,days,share_of_days,mean_spread_21d,median_spread_21d,hit_rate,mean_long_21d,mean_short_21d,std_spread_21d
< -1.5,219,0.07978142076502732,0.010010281946164047,0.00426275545086389,0.5251141552511416,0.030956044065132957,0.021324513902995307,0.06673413037763386
-1.5 to -0.5,622,0.22659380692167577,0.0004154243541843218,-0.0054250110793917245,0.4662379421221865,0.018172066019446226,0.018061350599673558,0.05436734768520695
-0.5 to +0.5,865,0.3151183970856102,-0.007824498956044234,-0.008970058026972061,0.4323699421965318,-0.011397162968371542,-0.003628090012846717,0.0539186226474768
+0.5 to +1.5,758,0.2761384335154827,0.007894118789167563,0.004807233441764218,0.5303430079155673,0.029186752956066632,0.021557608324729156,0.06160621103498205
> +1.5,281,0.10236794171220401,0.009717929561740507,0.005491477273441969,0.5587188612099644,0.020685937383323444,0.01178961783080886,0.06387005933567773
