signal_index,signal_date,entry_date,exit_date,n_long,n_short,long_return,short_underlying_return,pure_spread_return,overlay_excess_return,long_quality_mean,short_quality_mean,raw_dispersion_z,sma21_z,sma21_high_cross,bucket
27,2014-06-25,2014-06-26,2014-07-28,11,11,-0.044369476555414365,0.01460109926758754,-0.05827321721639302,-0.029322512877003926,56.355257315030556,38.403201637168806,,,False,
28,2014-06-26,2014-06-27,2014-07-29,11,11,-0.060844210722461024,-0.007111058855500686,-0.05416486127185737,-0.02724791448024259,56.71753159697027,38.6106345875683,,,False,
29,2014-06-27,2014-06-30,2014-07-30,11,11,-0.05656346751773534,-0.008492211824459073,-0.04845783918596453,-0.024315764422850855,54.25076640129759,38.403201637168806,,,False,
30,2014-06-30,2014-07-01,2014-07-31,11,11,-0.020374075158840495,-0.004767708088555395,-0.015654715087295358,-0.007725883008643197,62.88372756032653,34.15070534742538,,,False,
31,2014-07-01,2014-07-02,2014-08-01,11,11,-0.014857757021427128,-0.0019000714820464628,-0.013112047554546636,-0.006371655522600959,60.10134033275513,34.15070534742539,,,False,
32,2014-07-02,2014-07-03,2014-08-04,11,11,-0.00893648417604214,0.0020388076644186777,-0.010976650993554568,-0.005295161684895475,60.10134033275513,35.42169575075296,,,False,
33,2014-07-03,2014-07-04,2014-08-05,11,11,-0.04202550315376747,-0.0015471824322702559,-0.040376976983093726,-0.02016207456849629,55.64184343574454,36.7861203762725,,,False,
34,2014-07-04,2014-07-07,2014-08-06,11,11,-0.04230853028594842,0.0016037119957029702,-0.04379955717813544,-0.021919629802993352,56.63233505291141,37.566189404770796,,,False,
35,2014-07-07,2014-07-08,2014-08-07,11,11,-0.02140958232398624,0.0016720473582247947,-0.022958601325077495,-0.011354079748299684,56.76035811781534,36.91194049213301,,,False,
36,2014-07-08,2014-07-10,2014-08-08,11,11,-0.012701885796677557,-0.004771272265922714,-0.007842290880428336,-0.003805300679605699,56.63233505291141,36.91194049213302,,,False,
37,2014-07-10,2014-07-11,2014-08-11,11,11,-0.02623147874930857,-0.0048651972208134725,-0.02139966771421909,-0.010664611903241864,56.632335052911394,36.91194049213301,,,False,
38,2014-07-11,2014-07-14,2014-08-12,11,11,-0.037201656126572946,0.00572500488817228,-0.042855320933244866,-0.021529657427207367,56.994609334851106,36.91194049213302,,,False,
39,2014-07-14,2014-07-15,2014-08-13,11,11,-0.013869022137737599,0.012883622957918303,-0.026628455098186985,-0.013252559731194213,57.12263239975505,36.91194049213301,,,False,
40,2014-07-15,2014-07-16,2014-08-14,11,11,-0.027945270355332334,0.014911997383275607,-0.04238255474063162,-0.021249163113926148,56.61021367341578,36.91194049213301,,,False,
41,2014-07-16,2014-07-17,2014-08-15,11,11,-0.00445798401485376,0.016126729650434515,-0.02045324225443952,-0.010058798754674827,56.61021367341577,36.91194049213301,,,False,
42,2014-07-17,2014-07-18,2014-08-18,11,11,-0.01573113620508514,0.00870350592551744,-0.024524566217431352,-0.01216916957396376,56.994609334851106,36.91194049213301,,,False,
